Data, H, |I|, Out_Acc, In_Acc, Sol_Time, MIP_Gap, Obj_Val, Obj_Bound, Model, Lambda, Calibration_Time, Rand_State, Time_Limit, Tuning_Used, Num_CB, Num_Cuts, Total_CB_Time, MIP_Node_Time, MIP_Sol_Time, Max_Features, Single_Feature_Use, Regularization
iris,5,112,0.973684211,1,0.037394047,0,112,112,BendersOCT,0,1915.798053,15,3600,TRUE,2,0,0.035830021,,,,,
iris,5,112,0.973684211,1,0.023433924,0,112,112,BendersOCT,0,1804.469497,89,3600,TRUE,2,0,0.02214241,,,,,
house_votes_84,4,326,0.972477064,0.98467433,3600.004943,0.018749997,320.000001,326,BendersOCT,0,14656.07789,138,3600,TRUE,102,87,10.13411212,,,,,
balance_scale,4,468,0.694267516,0.8,3600.000824,0.105855856,370,409.1666667,BendersOCT,0,18000.94597,138,3600,TRUE,115,114,9.035879374,,,,,
kr_vs_kp,2,2397,0.879849812,0.869134515,3600.026614,0.155240766,1867.2,2157.065558,BendersOCT,0.1,18002.28509,138,3600,TRUE,22,21,19.84926844,,,,,
fico_binary,3,7844,0.708221797,0.716061185,3600.014825,0.387307109,4506,6251.205831,BendersOCT,0.2,18010.2402,138,3600,TRUE,51,50,64.70703912,,,,,
climate,5,405,0.911111111,0.929012346,3600.310837,0.082887701,374,405,BendersOCT,0,18013.15831,138,3600,TRUE,98,93,512.3948159,,,,,
iris,5,112,1,1,0.035130024,0,112,112,BendersOCT,0,7229.791312,42,3600,TRUE,2,0,0.033859491,,,,,
iris,5,112,0.973684211,1,0.030905008,0,112,112,BendersOCT,0,696.0207596,0,3600,TRUE,2,0,0.029416084,,,,,
balance_scale,4,468,0.732484076,0.778666667,3600.000683,0.183491062,253.6,300.1333333,BendersOCT,0.3,18004.47784,15,3600,TRUE,116,115,8.495171309,,,,,
kr_vs_kp,2,2397,0.863579474,0.871741397,3600.000729,0.148034227,1878.9,2157.041509,BendersOCT,0.1,18001.70001,15,3600,TRUE,23,22,19.43994784,,,,,
fico_binary,3,7844,0.710516252,0.713193117,3600.005945,0.394867796,2239.2,3123.387968,BendersOCT,0.6,18005.78429,15,3600,TRUE,67,64,64.01272798,,,,,
climate,5,405,0.911111111,0.938271605,3600.01536,0.071206883,340.1,364.317461,BendersOCT,0.1,18016.13547,15,3600,TRUE,71,63,269.4173911,,,,,
kr_vs_kp,5,2397,0.937421777,0.936913452,3600.025084,0.068713668,670.9,717,BendersOCT,0.7,18010.71276,138,3600,TRUE,94,87,152.588532,,,,,
house_votes_84,4,326,0.944954128,0.992337165,3600.002465,0.009287923,323.0000009,326,BendersOCT,0,14510.49808,15,3600,TRUE,121,106,14.49991274,,,,,
balance_scale,4,468,0.777070064,0.778666667,3600.004448,0.167824074,360,420.4166667,BendersOCT,0,18000.84783,89,3600,TRUE,124,123,12.83204889,,,,,
